1	782140661	
2	72227885	723718273
3	471200247	
4	72227710	723718273
5	1558605525	
6	972263608	
7	201615762	
8	782140114	
9	321125169	
10	805317554	
11	1861004486	
12	735712123	723718273
13	425188361	
14	142001740	
15	596004478	
16	71414339	
17	312311354	
18	312287941	
19	312243022	
20	609610570	
21	316602051	
22	743222008	
23	66214750	
24	787960756	
25	1590520734	
26	60934417	
27	440237556	214353528
28	373272839	
29	670031518	123812832
30	738206679	
31	67976867	
32	679450785	
33	1579550088	328392882
34	684843285	
35	471358983	
36	394739698	
37	1586851322	
38	1586851357	
39	156158648	
40	865659982	
41	517576600	
42	262024829	
43	72294337	
44	72315318	
45	324107501	
46	471363049	
47	130323519	
48	446527793	
49	743206061	
50	743244249	
51	743467523	
52	375703764	
53	345452089	924917898
54	385504470	
55	312276702	107334054
56	743457358	
57	1880418568	924917898
58	743455967	
59	140077022	
60	679722955	
61	684848155	
62	471286168	
63	471288217	
64	156006219	
65	60540753	771361413
66	393318486	
67	60958332	632173058
68	60958405	912009211
69	393319407	
70	67463442	
71	446608955	
72	446676098	632173058
73	446606812	
74	262521415	
75	262232197	
76	324113641	
77	471391123	
78	130998516	328392882
79	1565924916	871247190
80	735712360	328392882
81	735712379	
82	735713170	
83	1558606432	328392882
84	72222743	
85	345409469	
86	375508325	
87	345336895	
88	671004107	
89	345376595	
90	316666343	
91	316096199	
92	38572179	214353528
93	385494246	
94	385494327	
95	385494149	
96	399149848	
97	373218192	
98	373218257	
99	399149392	
100	1561584029	
101	1579902944	
102	1561586196	
103	61092177	
104	60502935	
105	61020656	
106	60855925	
107	61020648	
108	61161721	
109	7324537	
110	394800788	912009211
111	394800788	
112	394800788	
113	366625561	198423981
114	366625561	912009211
115	754290387	
116	316307866	
117	845747623	
118	845747623	
119	845747623	
120	845747623	
121	486400778	
